dataset,base_variable,physical_symbol,physical_description,engine_area,baseline_mae,perturbed_mae,delta_mae,baseline_rmse,perturbed_rmse,delta_rmse,baseline_r2,perturbed_r2,delta_r2,baseline_cmapss_score,perturbed_cmapss_score,delta_cmapss_score,baseline_dangerous_error_pct,perturbed_dangerous_error_pct,delta_dangerous_error_pct,mean_abs_prediction_shift,n_perturbed_features
FD003,sensor_7,P30,Total pressure at HPC outlet.,HPC,10.820275273623713,11.308511027344927,0.48823575372121475,14.555132153165431,14.817826310353466,0.2626941571880348,0.8763701163002854,0.8718672478510687,-0.004502868449216657,394.76291534675,490.65437690738014,95.89146156063015,9.0,9.0,0.0,2.8020551260122546,19
FD003,sensor_9,Nc,Physical core speed.,core spool,10.820275273623713,11.917808583320015,1.0975333096963027,14.555132153165431,16.301366776453765,1.7462346232883341,0.8763701163002854,0.8449259273119485,-0.031444188988336896,394.76291534675,450.6475828655174,55.8846675187674,9.0,9.0,0.0,6.080784290349102,19
FD003,sensor_3,T30,Total temperature at HPC outlet.,HPC,10.820275273623713,13.110144515898144,2.289869242274431,14.555132153165431,16.445091145954656,1.889958992789225,0.8763701163002854,0.8421793875068708,-0.03419072879341456,394.76291534675,446.4202595663345,51.6573442195845,9.0,14.000000000000002,5.000000000000002,5.904992314828406,7
FD003,sensor_2,T24,Total temperature at LPC outlet.,LPC,10.820275273623713,11.00619870278092,0.1859234291572065,14.555132153165431,14.81595607636087,0.26082392319543857,0.8763701163002854,0.8718995903958697,-0.0044705259044156564,394.76291534675,405.9743646196477,11.21144927289771,9.0,9.0,0.0,1.3984557262060577,7
FD003,sensor_17,htBleed,Bleed enthalpy.,bleed system,10.820275273623713,11.20008078594743,0.37980551232371695,14.555132153165431,14.682200569550389,0.12706841638495803,0.8763701163002854,0.8742020801356715,-0.002168036164613918,394.76291534675,404.3228523426395,9.55993699588953,9.0,9.0,0.0,1.657624764562513,7
FD003,sensor_21,W32,LPT coolant bleed.,LPT cooling/bleed,10.820275273623713,10.803327740563294,-0.016947533060418962,14.555132153165431,14.54978061125403,-0.005351541911400304,0.8763701163002854,0.8764610105455192,9.089424523378575e-05,394.76291534675,389.05615703913736,-5.706758307612631,9.0,8.0,-1.0,1.684598656010212,7
FD003,sensor_15,BPR,Bypass ratio.,bypass/fan,10.820275273623713,10.801233821491037,-0.01904145213267583,14.555132153165431,14.50005788769321,-0.055074265472221384,0.8763701163002854,0.8773039371982932,0.0009338208980078644,394.76291534675,383.15849591825366,-11.604419428496328,9.0,9.0,0.0,1.2481624332906065,17
FD003,sensor_20,W31,HPT coolant bleed.,HPT cooling/bleed,10.820275273623713,10.727426624132125,-0.09284864949158766,14.555132153165431,14.436116799458336,-0.11901535370709482,0.8763701163002854,0.8783836600567115,0.0020135437564261505,394.76291534675,380.5254087807265,-14.237506566023512,9.0,9.0,0.0,0.838439214895933,7
FD004,sensor_11,Ps30,Static pressure at HPC outlet.,HPC,17.909395215972776,27.915996057371938,10.006600841399163,26.071138098834716,35.90840317150581,9.837265072671094,0.7713622928981874,0.5662694016655955,-0.2050928912325919,4600.217416811195,18430.45381703694,13830.236400225745,6.451612903225806,22.58064516129032,16.129032258064512,15.452605247497559,25
FD004,sensor_14,NRc,Corrected core speed.,core spool,17.909395215972776,20.191603016468786,2.2822078004960105,26.071138098834716,28.63770450738344,2.5665664085487236,0.7713622928981874,0.7241301218066187,-0.04723217109156863,4600.217416811195,7385.770607372218,2785.5531905610233,6.451612903225806,8.46774193548387,2.016129032258064,4.7195563316345215,26
FD004,sensor_4,T50,Total temperature at LPT outlet.,turbine/LPT,17.909395215972776,22.218104866243177,4.308709650270401,26.071138098834716,29.793067687353723,3.721929588519007,0.7713622928981874,0.7014216439411747,-0.06994064895701269,4600.217416811195,7128.841669962591,2528.6242531513963,6.451612903225806,15.725806451612904,9.274193548387098,7.78033971786499,25
FD004,sensor_9,Nc,Physical core speed.,core spool,17.909395215972776,19.621090612103863,1.7116953961310877,26.071138098834716,27.990677399402944,1.9195393005682284,0.7713622928981874,0.7364550530338629,-0.034907239864324424,4600.217416811195,6129.723135519977,1529.5057187087823,6.451612903225806,6.854838709677419,0.403225806451613,4.877596855163574,26
FD004,sensor_13,NRf,Corrected fan speed.,fan/spool,17.909395215972776,20.787566256138586,2.8781710401658103,26.071138098834716,28.197112828573854,2.125974729739138,0.7713622928981874,0.7325533513344621,-0.038808941563725274,4600.217416811195,5823.2279667174425,1223.0105499062474,6.451612903225806,13.306451612903224,6.854838709677418,5.1306891441345215,14
FD004,sensor_3,T30,Total temperature at HPC outlet.,HPC,17.909395215972776,18.781272034491263,0.8718768185184871,26.071138098834716,27.004103255849838,0.9329651570151221,0.7713622928981874,0.7547057342478594,-0.016656558650328,4600.217416811195,5635.933376003556,1035.715959192361,6.451612903225806,7.258064516129033,0.8064516129032269,2.4649319648742676,24
FD004,sensor_17,htBleed,Bleed enthalpy.,bleed system,17.909395215972776,19.166596631849966,1.2572014158771907,26.071138098834716,27.23943495492958,1.1682968560948623,0.7713622928981874,0.7504117908395073,-0.0209505020586801,4600.217416811195,5398.640500573446,798.4230837622508,6.451612903225806,6.048387096774194,-0.4032258064516121,3.2431247234344482,24
FD004,sensor_15,BPR,Bypass ratio.,bypass/fan,17.909395215972776,19.123497413050742,1.2141021970779668,26.071138098834716,27.14007864519646,1.0689405463617447,0.7713622928981874,0.7522292248348335,-0.01913306806335391,4600.217416811195,5239.1836663569575,638.9662495457624,6.451612903225806,6.048387096774194,-0.4032258064516121,2.8183038234710693,25
FD004,sensor_8,Nf,Physical fan speed.,fan/spool,17.909395215972776,18.520067443770746,0.6106722277979699,26.071138098834716,26.524860832968617,0.4537227341339012,0.7713622928981874,0.763334962763178,-0.008027330135009336,4600.217416811195,4867.019157019935,266.80174020873983,6.451612903225806,6.451612903225806,0.0,1.6903431415557861,14
FD004,sensor_12,phi,Ratio of fuel flow to Ps30.,fuel/HPC interaction,17.909395215972776,18.372429845794553,0.46303462982177734,26.071138098834716,26.505824362585383,0.43468626375066677,0.7713622928981874,0.7636745423237474,-0.007687750574439933,4600.217416811195,4707.970358603245,107.75294179204957,6.451612903225806,6.854838709677419,0.403225806451613,2.2496824264526367,24
FD004,sensor_7,P30,Total pressure at HPC outlet.,HPC,17.909395215972776,18.34732944734635,0.4379342313735748,26.071138098834716,26.298800303055238,0.22766220422052186,0.7713622928981874,0.7673517711534976,-0.004010521744689743,4600.217416811195,4695.235623969638,95.01820715844315,6.451612903225806,8.064516129032258,1.612903225806452,1.5403586626052856,26
FD004,sensor_20,W31,HPT coolant bleed.,HPT cooling/bleed,17.909395215972776,17.85904651687991,-0.05034869909286499,26.071138098834716,25.9462598401443,-0.12487825869041558,0.7713622928981874,0.7735473527326523,0.002185059834464931,4600.217416811195,4525.511309484483,-74.7061073267123,6.451612903225806,6.451612903225806,0.0,0.7798644304275513,14
