n_predictions,n_units,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,conservative_error_pct,bias_mean,abs_error_p90,abs_error_p95,model_name,approach,window_size,rul_cap,objective,alpha,sample_weight_scheme,feature_set,random_state,n_features,dropped_columns,config_index,hyperparameter_search_label,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample
100,20,11.811505146762775,16.21410008543409,0.8539460880108478,460.60612971496056,4.606061297149606,6.0,13.0,-2.9763605260880954,28.609738044641666,34.303418757119935,fd003_lgbm_refinement_search_09,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,4,193,"setting_3,sensor_1,sensor_18,sensor_19",9,search_09,0.8,0.03,-1,40,1300,15,0.5,20.0,0.9
100,20,13.362273893858667,18.5582875535048,0.8086610906007938,467.31737968102476,4.673173796810247,3.0,22.0,-7.766654754790907,34.74109652352061,43.127510732061985,fd003_lgbm_refinement_search_10,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,0,193,"setting_3,sensor_1,sensor_18,sensor_19",10,search_10,0.7,0.03,-1,20,1300,7,1.0,10.0,0.8
100,20,12.583227961868609,16.489644197301867,0.8489397968035494,501.16098783880665,5.011609878388066,10.0,8.0,-0.5962526267674852,27.9131450351398,36.51581244121422,fd003_lgbm_refinement_search_10,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,1,193,"setting_3,sensor_1,sensor_18,sensor_19",10,search_10,0.7,0.03,-1,20,1300,7,1.0,10.0,0.8
100,20,13.210586632800599,17.83689033267178,0.8232474129223556,513.150670323781,5.13150670323781,5.0,14.000000000000002,-4.6370308922770285,29.677113297167555,37.62022399555291,fd003_lgbm_refinement_search_10,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,2,193,"setting_3,sensor_1,sensor_18,sensor_19",10,search_10,0.7,0.03,-1,20,1300,7,1.0,10.0,0.8
100,20,11.39720066940893,15.052760865353575,0.8741191057391555,316.1539156959953,3.161539156959953,6.0,12.0,-2.5191242812798857,23.97240736877692,31.709902331721125,fd003_lgbm_refinement_search_10,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,3,193,"setting_3,sensor_1,sensor_18,sensor_19",10,search_10,0.7,0.03,-1,20,1300,7,1.0,10.0,0.8
100,20,12.150231246321692,16.436742709465992,0.8499074939460092,433.9552103496626,4.339552103496626,7.000000000000001,11.0,-3.2686632966008937,30.98656606856545,32.707112277102475,fd003_lgbm_refinement_search_10,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,4,193,"setting_3,sensor_1,sensor_18,sensor_19",10,search_10,0.7,0.03,-1,20,1300,7,1.0,10.0,0.8
100,20,12.759592809311656,17.961255759268305,0.820774050861195,423.9069807129245,4.239069807129245,2.0,21.0,-7.850260443567887,34.17343015975632,42.93020113460813,fd003_lgbm_refinement_search_11,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,0,193,"setting_3,sensor_1,sensor_18,sensor_19",11,search_11,0.8,0.03,-1,40,1300,15,1.0,10.0,0.9
100,20,11.547272420305127,15.104483422895854,0.8732525447374802,386.61426248508906,3.8661426248508906,9.0,7.000000000000001,-0.847853582747002,22.963526837705682,30.684272908327948,fd003_lgbm_refinement_search_11,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,1,193,"setting_3,sensor_1,sensor_18,sensor_19",11,search_11,0.8,0.03,-1,40,1300,15,1.0,10.0,0.9
100,20,12.578380969149741,17.553908885671508,0.8288112682408572,484.2915533800149,4.842915533800149,5.0,15.0,-4.830235778402146,28.180490871491205,35.89967991799052,fd003_lgbm_refinement_search_11,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,2,193,"setting_3,sensor_1,sensor_18,sensor_19",11,search_11,0.8,0.03,-1,40,1300,15,1.0,10.0,0.9
100,20,12.114381576670128,15.60750409716161,0.8646698976983798,357.13370479875914,3.5713370479875914,7.000000000000001,9.0,-1.4247457779828887,24.258011512691503,32.6920121023713,fd003_lgbm_refinement_search_11,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,3,193,"setting_3,sensor_1,sensor_18,sensor_19",11,search_11,0.8,0.03,-1,40,1300,15,1.0,10.0,0.9
