representation,model_name,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,candidate_label,model_type,feature_set,window_size,rul_cap,sample_weight_scheme,n_features,params,selection_note,random_state,experiment_stage
temporal_w30_condition_normalized,lgbm_search_07_regression_w30,258,14.82069639911892,18.750783382138597,0.8031213260467163,1885.271018132592,7.30725200826586,13.178294573643411,lgbm_search_07_regression_w30,lightgbm,condition_normalized,30,125,bin_weights,364,"{""colsample_bytree"":1.0,""learning_rate"":0.05,""max_depth"":-1,""min_child_samples"":40,""n_estimators"":700,""num_leaves"":15,""objective"":""regression"",""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.8}",FD002 condition-normalized LightGBM hyperparameter search.,42,lgbm_xgb_search
temporal_w30_condition_normalized,hgb_search_06_squared_error_w30,258,14.76352284921508,18.72098808106761,0.803746515790885,1927.658756067446,7.471545566152892,13.565891472868216,hgb_search_06_squared_error_w30,hist_gradient_boosting,condition_normalized,30,125,bin_weights,364,"{""early_stopping"":true,""l2_regularization"":0.0,""learning_rate"":0.06,""loss"":""squared_error"",""max_features"":0.8,""max_iter"":350,""max_leaf_nodes"":31,""min_samples_leaf"":20,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42,hgb_search
temporal_w30_condition_normalized,lgbm_search_02_regression_w30,258,14.980559008578629,18.79789266610613,0.8021308112352394,1958.4812598525425,7.591012635087373,14.728682170542635,lgbm_search_02_regression_w30,lightgbm,condition_normalized,30,125,bin_weights,364,"{""colsample_bytree"":0.9,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":20,""n_estimators"":1300,""num_leaves"":31,""objective"":""regression"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.8}",FD002 condition-normalized LightGBM hyperparameter search.,42,lgbm_xgb_search
temporal_w30_condition_normalized,hgb_search_01_squared_error_w30,258,14.92677094804105,18.842941877326336,0.8011812865120654,2004.7634639288965,7.770401022980218,13.953488372093023,hgb_search_01_squared_error_w30,hist_gradient_boosting,condition_normalized,30,125,soft,364,"{""early_stopping"":true,""l2_regularization"":0.0,""learning_rate"":0.06,""loss"":""squared_error"",""max_features"":1.0,""max_iter"":250,""max_leaf_nodes"":63,""min_samples_leaf"":40,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42,hgb_search
temporal_w30_condition_normalized,hgb_search_08_squared_error_w30,258,15.033469744023812,18.957143471950182,0.7987640185792928,2117.265513415714,8.20645547835548,13.565891472868216,hgb_search_08_squared_error_w30,hist_gradient_boosting,condition_normalized,30,125,soft,364,"{""early_stopping"":true,""l2_regularization"":0.0,""learning_rate"":0.08,""loss"":""squared_error"",""max_features"":1.0,""max_iter"":180,""max_leaf_nodes"":15,""min_samples_leaf"":40,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42,hgb_search
temporal_w30_condition_normalized,hgb_search_11_absolute_error_w30,258,15.097538855681847,19.140605496794773,0.7948501580946435,2183.789345168968,8.46429978747662,14.728682170542635,hgb_search_11_absolute_error_w30,hist_gradient_boosting,condition_normalized,30,125,none,364,"{""early_stopping"":true,""l2_regularization"":1.0,""learning_rate"":0.06,""loss"":""absolute_error"",""max_features"":0.8,""max_iter"":350,""max_leaf_nodes"":31,""min_samples_leaf"":40,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42,hgb_search
temporal_w30_condition_normalized,lgbm_search_00_regression_w30,258,15.418572133772734,19.33875557871888,0.7905806096003897,2364.623991298636,9.165209268599364,17.05426356589147,lgbm_search_00_regression_w30,lightgbm,condition_normalized,30,125,none,364,"{""colsample_bytree"":1.0,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":40,""n_estimators"":1000,""num_leaves"":47,""objective"":""regression"",""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.8}",FD002 condition-normalized LightGBM hyperparameter search.,42,lgbm_xgb_search
temporal_w50_raw,hist_gb_raw,258,19.019117868937776,23.559441467421617,0.6891936932486542,4221.308479679227,16.361660773950494,23.25581395348837,hist_gb_raw,hist_gradient_boosting,raw,50,125,none,168,"{""early_stopping"":true,""l2_regularization"":0.1,""learning_rate"":0.05,""loss"":""squared_error"",""max_iter"":250,""max_leaf_nodes"":31,""min_samples_leaf"":20,""n_iter_no_change"":15,""validation_fraction"":0.1}",Fast boosting baseline over raw temporal features.,42,baseline_model_family
temporal_w50_condition_id,hist_gb_raw_plus_condition,258,19.064408419330142,23.6106786031585,0.68784033844823,4335.001150770688,16.802330041746853,21.31782945736434,hist_gb_raw_plus_condition,hist_gradient_boosting,raw_plus_condition,50,125,none,217,"{""early_stopping"":true,""l2_regularization"":0.1,""learning_rate"":0.05,""loss"":""squared_error"",""max_iter"":250,""max_leaf_nodes"":31,""min_samples_leaf"":20,""n_iter_no_change"":15,""validation_fraction"":0.1}",Raw temporal features plus inferred condition_id and condition mix.,42,baseline_model_family
temporal_w50_raw,fd001_fd003_lgbm_reference_raw,258,18.76874391238819,23.870383079920355,0.6809354017811655,4561.013574904979,17.67834718955418,19.379844961240316,fd001_fd003_lgbm_reference_raw,lightgbm,raw,50,125,none,168,"{""alpha"":0.4,""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1300,""num_leaves"":15,""objective"":""quantile"",""reg_alpha"":0.5,""reg_lambda"":10.0,""subsample"":0.9}",FD001/FD003 LightGBM recipe transferred without FD002 condition-aware features.,42,lgbm_xgb_comparison
temporal_w50_raw,fd001_like_random_forest_raw,258,19.79221572416414,24.915058311131045,0.6523968862609284,5270.474116216283,20.42819424890032,20.930232558139537,fd001_like_random_forest_raw,random_forest,raw,50,125,none,168,"{""max_depth"":14,""min_samples_leaf"":3,""n_estimators"":80}",FD001-style temporal model without explicit condition handling.,42,baseline_model_family
